ID,Nombre,Peso,Edad,Raza,cantidadComidaRacion
603,Georgine,28.20,17,Rottweiler,648.60
604,Katlin,16.85,6,Dalmata,387.55
605,Tedda,31.06,9,Bloodhound,714.38
606,Rand,27.73,13,Border Collie,637.79
607,Jarid,18.51,19,Doberman,425.73
608,Silva,17.89,13,Doberman,411.47
609,Wood,45.00,15,Pastor Aleman,1035.00
610,Liv,36.41,4,Galgo,837.43
611,Dolph,40.12,16,Dalmata,922.76
612,Fabio,41.52,9,Dalmata,954.96
613,Roarke,20.29,19,Labrador Retriever,466.67
614,Maddi,10.85,16,Rottweiler,249.55
615,Rafi,23.84,4,Husky,548.32
616,Danyelle,5.46,16,San Bernardo,125.58
617,Jermaine,23.19,9,Labrador Retriever,533.37
618,Nolie,8.84,19,Boxer,203.32
619,Morena,22.75,1,Gran Danes,523.25
620,Ezequiel,39.65,3,San Bernardo,911.95
621,Corny,30.55,6,Husky,702.65
622,Morrie,19.89,11,Gran Danes,457.47
623,Tim,40.67,11,Labrador Retriever,935.41
624,Baudoin,32.13,17,Husky,738.99
625,Korey,18.23,18,Labrador Retriever,419.29
626,Valaria,29.76,18,Dalmata,684.48
627,Wynne,38.02,11,Gran Danes,874.46
628,Homerus,33.87,16,Galgo,779.01
629,Flo,14.55,5,Bloodhound,334.65
630,Donny,38.60,15,Pastor Aleman,887.80
631,Meier,32.06,10,Pastor Aleman,737.38
632,Jedidiah,6.48,3,Husky,149.04
633,Gui,31.32,19,Doberman,720.36
634,Caitlin,6.26,10,Rottweiler,143.98
635,Davidde,38.21,18,Gran Danes,878.83
636,Clem,25.73,15,Sharpei,591.79
637,Bessie,30.44,8,Pastor Aleman,700.12
638,Rennie,23.28,10,Pastor Aleman,535.44
639,Hanny,47.96,14,Dalmata,1103.08
640,Chicky,47.07,15,San Bernardo,1082.61
641,Hall,36.77,11,Dalmata,845.71
642,Annamaria,7.40,9,Husky,170.20
643,Sharai,7.13,10,Bulldog,163.99
644,Jobie,7.19,2,Pastor Aleman,165.37
645,Miller,38.12,4,Bulldog,876.76
646,Shelley,23.83,17,Sharpei,548.09
647,Christopher,25.20,14,Dalmata,579.60
648,Ross,42.99,18,Pastor Aleman,988.77
649,Laurent,12.06,18,Doberman,277.38
650,Javier,18.91,13,Beagle,434.93
651,Libby,31.35,14,Bulldog,721.05
652,Jeniece,32.14,13,Border Collie,739.22
653,Salomone,9.50,10,Beagle,218.50
654,Linnet,26.15,18,Rottweiler,601.45
655,Moria,13.03,13,Dalmata,299.69
656,Carol,23.44,10,Sharpei,539.12
657,Martie,41.99,1,Border Collie,965.77
658,Dania,17.96,17,Labrador Retriever,413.08
659,Wait,12.02,6,San Bernardo,276.46
660,Lydia,36.84,5,Husky,847.32
661,Loralee,26.94,13,Dalmata,619.62
662,Marabel,19.17,19,Rottweiler,440.91
663,Elvin,32.28,15,Galgo,742.44
664,Nissie,14.08,14,San Bernardo,323.84
665,Berton,15.36,17,Doberman,353.28
666,Lamar,38.43,2,Sharpei,883.89
667,Kory,45.41,2,Galgo,1044.43
668,Lishe,48.95,6,Rottweiler,1125.85
669,Andre,15.70,11,San Bernardo,361.10
670,Charity,45.41,20,Galgo,1044.43
671,Wenda,36.44,6,Pastor Aleman,838.12
672,Fairleigh,34.47,18,Boxer,792.81
673,Willy,47.61,8,Rottweiler,1095.03
674,Khalil,31.01,18,Boxer,713.23
675,Rockie,29.98,5,Pastor Aleman,689.54
676,Cordi,29.73,12,Beagle,683.79
677,Lionello,29.25,16,Bulldog,672.75
678,Regan,7.50,16,Bloodhound,172.50
679,Mady,9.26,13,Pastor Aleman,212.98
680,Beulah,44.24,20,Boxer,1017.52
681,Rosene,41.35,15,Boxer,951.05
682,Lanny,42.29,5,Labrador Retriever,972.67
683,Lyndsay,36.79,11,Gran Danes,846.17
684,Bunny,10.95,6,Dalmata,251.85
685,Tabitha,22.49,5,Bloodhound,517.27
686,Nata,22.51,20,Doberman,517.73
687,Othello,37.02,10,Labrador Retriever,851.46
688,Margy,26.16,18,Galgo,601.68
689,Nathalia,37.30,4,Bulldog,857.90
690,Shane,21.68,8,Galgo,498.64
691,Karalee,11.73,10,Doberman,269.79
692,Mal,38.64,10,Bloodhound,888.72
693,Flori,14.59,8,San Bernardo,335.57
694,Rosy,8.23,10,Doberman,189.29
695,Benedetto,16.11,14,Bloodhound,370.53
696,Kym,16.13,13,Dalmata,370.99
697,Ferd,33.52,13,Dalmata,770.96
698,Caralie,27.90,2,Labrador Retriever,641.70
699,Hodge,15.92,5,Bloodhound,366.16
700,Brigg,33.03,17,Bloodhound,759.69
701,Abbe,29.88,3,San Bernardo,687.24
702,Valina,26.66,11,Doberman,613.18
703,Nicky,13.88,20,Galgo,319.24
704,Zuzana,45.13,7,Sharpei,1037.99
705,Cheri,44.34,6,Boxer,1019.82
706,Malvin,28.97,4,Border Collie,666.31
707,Martino,27.70,6,Beagle,637.10
708,Elinore,46.57,1,Sharpei,1071.11
709,Randie,14.93,7,Sharpei,343.39
710,Vida,26.03,16,Pastor Aleman,598.69
711,Aubrie,38.50,20,Pastor Aleman,885.50
712,Darsey,48.06,5,Rottweiler,1105.38
713,Garnette,17.32,6,Bloodhound,398.36
714,Stearn,13.28,14,Galgo,305.44
715,Yves,44.06,1,Rottweiler,1013.38
716,Annette,49.50,17,Gran Danes,1138.50
717,Lacee,7.12,8,Galgo,163.76
718,Margette,20.96,10,Husky,482.08
719,Julius,28.51,17,Bulldog,655.73
720,Justis,11.71,1,Galgo,269.33
721,Lucien,11.64,18,Rottweiler,267.72
722,Marjory,7.93,9,Gran Danes,182.39
723,Janela,26.87,19,Labrador Retriever,618.01
724,Farley,27.39,10,Sharpei,629.97
725,Killian,37.62,15,Doberman,865.26
726,Denise,20.33,6,Bulldog,467.59
727,Karl,8.56,4,Rottweiler,196.88
728,Alleen,46.98,6,Gran Danes,1080.54
729,Gregoire,41.84,15,Rottweiler,962.32
730,Hermann,27.57,20,Dalmata,634.11
731,Elfrieda,49.90,10,Gran Danes,1147.70
732,Connie,47.66,11,Husky,1096.18
733,Dari,26.30,10,Pastor Aleman,604.90
734,Cordi,45.85,12,Gran Danes,1054.55
735,Sunshine,45.51,15,Labrador Retriever,1046.73
736,Max,27.36,10,Boxer,629.28
737,Gaby,20.46,14,Dalmata,470.58
738,Chaunce,38.76,1,Doberman,891.48
739,Rosalyn,11.94,10,Boxer,274.62
740,Marylynne,30.40,9,Pastor Aleman,699.20
741,Jazmin,27.02,5,Border Collie,621.46
742,Ches,30.86,10,Sharpei,709.78
743,Mischa,26.10,19,Border Collie,600.30
744,Josee,46.32,14,San Bernardo,1065.36
745,Kenon,40.17,2,Beagle,923.91
746,Hadria,47.90,8,San Bernardo,1101.70
747,Athena,6.92,10,Rottweiler,159.16
748,Thibaud,20.83,1,San Bernardo,479.09
749,Steven,46.83,16,Gran Danes,1077.09
750,Colleen,32.33,14,Beagle,743.59
751,Karol,14.05,6,Galgo,323.15
752,Bellina,45.41,13,Sharpei,1044.43
753,Darbee,46.68,19,Gran Danes,1073.64
754,Trudey,48.78,7,Border Collie,1121.94
755,Ferdinand,25.93,14,Doberman,596.39
756,Jesselyn,9.42,12,Labrador Retriever,216.66
757,Gris,45.32,18,Border Collie,1042.36
758,Foster,17.25,8,Husky,396.75
759,Shelley,6.84,4,Gran Danes,157.32
760,Terrel,28.16,18,Galgo,647.68
761,Barnett,20.25,1,Labrador Retriever,465.75
762,Dorolisa,12.28,10,Boxer,282.44
763,Agnes,45.40,1,Dalmata,1044.20
764,Madelle,27.23,4,Dalmata,626.29
765,Roderigo,9.37,16,Husky,215.51
766,Inessa,44.05,10,Husky,1013.15
767,Reba,13.77,4,Beagle,316.71
768,Nora,29.09,13,Rottweiler,669.07
769,Hart,11.12,13,Beagle,255.76
770,Desmond,33.60,16,Husky,772.80
771,Lamont,19.74,13,Doberman,454.02
772,Powell,28.43,13,Rottweiler,653.89
773,Kermy,10.61,12,Boxer,244.03
774,Joceline,6.80,19,Boxer,156.40
775,Cull,39.50,7,Boxer,908.50
776,Celine,8.66,18,Sharpei,199.18
777,Bentley,37.24,4,Sharpei,856.52
778,Emilia,18.70,13,Beagle,430.10
779,Alma,34.21,19,Gran Danes,786.83
780,Dede,6.43,13,San Bernardo,147.89
781,Tasia,45.91,10,Bloodhound,1055.93
782,Blakeley,33.05,20,Galgo,760.15
783,Jarad,46.15,19,Bulldog,1061.45
784,Amelia,14.18,14,Dalmata,326.14
785,Ike,31.40,14,Sharpei,722.20
786,Giff,31.40,19,Bloodhound,722.20
787,Judi,28.91,7,Rottweiler,664.93
788,Janot,20.60,11,Bulldog,473.80
789,Olympie,7.68,4,Border Collie,176.64
790,Gennie,20.55,3,Galgo,472.65
791,Charlot,26.07,5,Dalmata,599.61
792,Toma,35.60,9,Pastor Aleman,818.80
793,Evangelin,40.91,19,Gran Danes,940.93
794,Tallie,14.28,4,San Bernardo,328.44
795,Merry,37.43,3,Beagle,860.89
796,Winnie,20.24,18,Sharpei,465.52
797,Donnajean,48.96,4,Border Collie,1126.08
798,Sula,41.57,6,Sharpei,956.11
799,Zed,37.59,7,San Bernardo,864.57
800,Darin,15.34,15,Galgo,352.82
801,Erhart,42.65,16,Sharpei,980.95
802,Missie,13.49,1,Rottweiler,310.27
803,Rice,41.56,8,Sharpei,955.88
804,Emelita,18.55,15,Husky,426.65
805,Bruno,9.13,16,Pastor Aleman,209.99
806,Gisele,11.66,13,Labrador Retriever,268.18
807,Gottfried,31.27,9,Rottweiler,719.21
808,Joana,13.72,16,Boxer,315.56
809,Malinda,15.79,15,Bulldog,363.17
810,Hettie,36.01,9,Bloodhound,828.23
811,Sonny,42.12,10,Beagle,968.76
812,Paxon,6.48,3,Beagle,149.04
813,Lief,8.32,8,Husky,191.36
814,Magdalen,8.82,2,Bloodhound,202.86
815,Herman,10.01,3,Husky,230.23
816,Sammy,49.75,8,Doberman,1144.25
817,Rana,48.80,1,San Bernardo,1122.40
818,Hali,19.77,4,Labrador Retriever,454.71
819,Quintina,11.47,11,Boxer,263.81
820,Muriel,6.57,18,Labrador Retriever,151.11
821,Fionnula,34.84,7,Dalmata,801.32
822,Earvin,28.66,4,Galgo,659.18
823,Morna,44.62,5,Beagle,1026.26
824,Elden,22.64,3,Sharpei,520.72
825,Bee,29.22,14,Dalmata,672.06
826,Tybie,25.61,10,Dalmata,589.03
827,Sile,30.42,3,Bloodhound,699.66
828,Calli,18.66,11,Dalmata,429.18
829,Tamiko,11.65,15,Husky,267.95
830,Harry,49.42,7,Pastor Aleman,1136.66
831,Halsy,30.99,6,Rottweiler,712.77
832,Aldis,13.70,5,Galgo,315.10
833,Vittorio,45.25,5,Doberman,1040.75
834,Reade,29.34,13,Galgo,674.82
835,Armando,8.47,10,Sharpei,194.81
836,Cesar,16.09,16,Dalmata,370.07
837,Don,36.32,2,Galgo,835.36
838,Ashla,48.10,11,Sharpei,1106.30
839,Duffy,33.93,16,Galgo,780.39
840,Chelsae,19.17,1,Bloodhound,440.91
841,Evangeline,8.99,12,Sharpei,206.77
842,Tabbie,40.56,18,Beagle,932.88
843,Henryetta,6.28,3,Doberman,144.44
844,Dore,11.27,13,Sharpei,259.21
845,Gretna,5.62,11,San Bernardo,129.26
846,Carney,43.12,13,Galgo,991.76
847,Fulton,21.54,20,Sharpei,495.42
848,Johnathon,40.34,9,Gran Danes,927.82
849,Todd,29.64,16,Labrador Retriever,681.72
850,Tobye,40.23,13,Galgo,925.29
851,Eimile,24.37,14,Bloodhound,560.51
852,Barde,18.30,14,Galgo,420.90
853,Gallard,10.81,10,Sharpei,248.63
854,Percy,34.87,2,Doberman,802.01
855,Brig,32.70,5,San Bernardo,752.10
856,Kai,19.37,15,Husky,445.51
857,Lucie,40.20,12,Dalmata,924.60
858,Adina,7.06,14,Galgo,162.38
859,Tomasina,13.15,16,Sharpei,302.45
860,Clyve,8.68,5,Border Collie,199.64
861,Alanson,49.38,16,Pastor Aleman,1135.74
862,Ken,7.45,5,Sharpei,171.35
863,Dunc,32.72,16,Galgo,752.56
864,Bart,10.95,2,Rottweiler,251.85
865,Kathye,27.13,6,Galgo,623.99
866,Stafford,10.46,11,Gran Danes,240.58
867,Mechelle,17.12,13,Bloodhound,393.76
868,Kathlin,33.78,16,Doberman,776.94
869,Patrica,39.89,11,Dalmata,917.47
870,Gaelan,31.08,18,Border Collie,714.84
871,Odelia,25.73,15,San Bernardo,591.79
872,Hebert,15.12,13,Bulldog,347.76
873,Teri,17.60,20,Galgo,404.80
874,Dorothy,38.50,12,Galgo,885.50
875,Nissy,45.22,18,San Bernardo,1040.06
876,Jack,19.88,7,Bloodhound,457.24
877,Talbert,46.46,11,Beagle,1068.58
878,Beauregard,49.31,3,Doberman,1134.13
879,Carolyn,19.86,4,Pastor Aleman,456.78
880,Karine,34.83,10,Bulldog,801.09
881,Bendite,40.78,13,Galgo,937.94
882,Corina,24.88,17,Boxer,572.24
883,Zsa zsa,39.77,1,Husky,914.71
884,Pammie,37.83,7,Galgo,870.09
885,Margarette,45.25,11,Border Collie,1040.75
886,Tammy,14.16,12,Rottweiler,325.68
887,Harper,26.58,20,Bloodhound,611.34
888,Mead,32.44,19,Gran Danes,746.12
889,Morna,32.15,17,Bloodhound,739.45
890,Mikaela,35.63,5,Border Collie,819.49
891,Catlee,8.44,11,Pastor Aleman,194.12
892,Lenci,25.59,13,Border Collie,588.57
893,Hyacinthie,5.73,14,Beagle,131.79
894,Broderic,11.95,15,San Bernardo,274.85
895,Hatti,18.97,5,Rottweiler,436.31
896,Adriana,48.53,17,Husky,1116.19
897,Chelsie,27.89,5,Bulldog,641.47
898,Royce,14.86,17,Border Collie,341.78
899,Adriana,36.30,2,Bloodhound,834.90
900,Natty,7.63,11,Border Collie,175.49
901,Barbara-anne,9.25,16,Beagle,212.75
902,Ilaire,46.25,3,Labrador Retriever,1063.75
903,Hill,19.67,14,Doberman,452.41
904,Renate,16.57,12,Boxer,381.11
905,Conni,36.71,8,Sharpei,844.33
906,Annadiane,20.03,3,Dalmata,460.69
907,Lydia,35.55,11,Bloodhound,817.65
908,Byram,48.26,13,Bloodhound,1109.98
909,Nicolai,6.95,2,San Bernardo,159.85
910,Susan,20.16,10,Beagle,463.68
911,Corrianne,31.13,13,Galgo,715.99
912,Susanetta,28.07,5,Husky,645.61
913,Randell,41.15,17,Border Collie,946.45
914,Vally,26.03,5,Bulldog,598.69
915,Joelle,26.03,16,Bulldog,598.69
916,Colly,35.49,11,Rottweiler,816.27
917,Dennison,44.68,20,Doberman,1027.64
918,Clemmie,12.59,2,Bulldog,289.57
919,Moises,40.95,3,Beagle,941.85
920,Ulises,13.87,19,Husky,319.01
921,My,14.30,19,Border Collie,328.90
922,Caroline,40.37,12,Rottweiler,928.51
923,Gabriela,7.60,15,Husky,174.80
924,Barris,48.20,7,Bloodhound,1108.60
925,Fara,20.37,9,Border Collie,468.51
926,Emelita,12.47,18,Bulldog,286.81
927,Jeniffer,18.34,16,Beagle,421.82
928,Julita,20.00,7,Boxer,460.00
929,Lynde,27.01,15,Beagle,621.23
930,Casey,30.32,9,Gran Danes,697.36
931,Rhea,33.12,7,Pastor Aleman,761.76
932,Burch,17.41,17,Border Collie,400.43
933,Ermentrude,45.29,12,Pastor Aleman,1041.67
934,Kassandra,28.79,11,Galgo,662.17
935,Gerhardine,34.26,2,Gran Danes,787.98
936,Petronilla,33.22,20,Beagle,764.06
937,Spense,31.84,15,Bloodhound,732.32
938,Hort,43.24,5,Labrador Retriever,994.52
939,Binnie,35.44,7,Beagle,815.12
940,Hermy,19.81,13,Rottweiler,455.63
941,Theadora,44.61,18,Sharpei,1026.03
942,Ronnie,15.57,11,Border Collie,358.11
943,Wilow,40.60,9,Pastor Aleman,933.80
944,Lorena,43.97,12,Border Collie,1011.31
945,Roxy,38.21,14,Labrador Retriever,878.83
946,Wandis,18.18,17,Bulldog,418.14
947,Bevan,22.00,11,San Bernardo,506.00
948,Erminie,36.51,20,San Bernardo,839.73
949,Illa,34.80,6,Boxer,800.40
950,Pattie,16.56,11,Bloodhound,380.88
951,Mendel,40.73,2,Bloodhound,936.79
952,Faydra,31.87,15,Bulldog,733.01
953,Nefen,33.62,9,Pastor Aleman,773.26
954,Nanice,49.24,8,Bloodhound,1132.52
955,Adelina,30.34,3,Bloodhound,697.82
956,Adrienne,28.52,16,Labrador Retriever,655.96
957,Lilith,30.39,10,Pastor Aleman,698.97
958,Stormy,6.91,11,Husky,158.93
959,Laney,18.05,15,Husky,415.15
960,Brande,46.80,9,Beagle,1076.40
961,Horatia,15.66,7,Pastor Aleman,360.18
962,Greer,6.59,13,Boxer,151.57
963,Antony,14.53,1,Bulldog,334.19
964,Dre,24.92,3,Rottweiler,573.16
965,Tadeas,16.50,1,Bloodhound,379.50
966,Tally,13.29,2,Sharpei,305.67
967,Perl,12.96,16,Husky,298.08
968,Delphine,7.80,5,Galgo,179.40
969,Abbe,46.90,7,Gran Danes,1078.70
970,Cobby,18.15,18,Galgo,417.45
971,Levin,43.36,1,Boxer,997.28
972,Cecil,35.73,8,San Bernardo,821.79
973,Fair,13.10,15,Dalmata,301.30
974,Brion,24.12,17,Rottweiler,554.76
975,Lynnet,25.58,14,Bulldog,588.34
976,Tedmund,18.51,3,Bulldog,425.73
977,Maximilianus,40.61,13,Boxer,934.03
978,Anet,41.48,7,San Bernardo,954.04
979,Benjie,34.33,9,Bloodhound,789.59
980,Goddard,14.87,8,Doberman,342.01
981,Seward,14.34,10,Sharpei,329.82
982,Dan,18.43,6,Bloodhound,423.89
983,Duke,7.00,3,San Bernardo,161.00
984,Jami,14.80,14,Bulldog,340.40
985,Craggie,9.37,20,Border Collie,215.51
986,Reggie,13.14,12,Border Collie,302.22
987,Any,30.59,9,Bulldog,703.57
988,Tasha,49.29,15,Beagle,1133.67
989,Sarena,23.35,6,Dalmata,537.05
990,Gardener,9.10,19,Bloodhound,209.30
991,Waylon,31.24,4,Dalmata,718.52
992,Antonia,40.58,6,Boxer,933.34
993,Biron,31.10,2,Labrador Retriever,715.30
994,Ludvig,44.50,14,Beagle,1023.50
995,Cristi,15.58,16,San Bernardo,358.34
996,Hans,39.30,9,San Bernardo,903.90
997,Arron,34.45,16,Galgo,792.35
998,Edithe,22.01,3,Border Collie,506.23
999,Orson,16.39,10,Doberman,376.97
